--- Epsilon = 10^-2 ---
x: -0.75, y: 1.75
x: -1.2906249924995166, y: 1.1562499999998295
x: -0.17497446668987493, y: 1.410981435631868
x: -0.18150826634186146, y: 0.7207987498128716
x: -0.07005770737020178, y: 0.37687200028177337
x: 0.11789489549055077, y: 0.19089004132186016
x: 0.31518223120144473, y: 0.10239462385227949
x: 0.4531085957574239, y: 0.10086723135868514
x: 0.515164134125335, y: 0.1530873154539909
x: 0.5542748824131367, y: 0.20924070027156083
x: 0.5891120778926402, y: 0.25823067277283407
x: 0.618963326914524, y: 0.30264185654590836
x: 0.6453603593240826, y: 0.3428787283055025
x: 0.6687824885224243, y: 0.3796843608462037
x: 0.6898258808497599, y: 0.41347718890022267
x: 0.7088275954563121, y: 0.44466846739518573
x: 0.7261144510446398, y: 0.47355251373777507
x: 0.7419066994004555, y: 0.5003973548768135
x: 0.7564090985240017, y: 0.5254114527460438
x: 0.7697702353343043, y: 0.5487830885379711
x: 0.7821286282550355, y: 0.5706646518722961
x: 0.7935882715329232, y: 0.5911949215041975
x: 0.8042480828019852, y: 0.6104886331094029
x: 0.814183064410172, y: 0.628651805900037
x: 0.8234669780793701, y: 0.6457729341361863
x: 0.832155061927805, y: 0.6619353990616769
x: 0.8403044934372728, y: 0.6772087230768714
x: 0.8479563339619756, y: 0.6916601823838705
x: 0.8551566957089158, y: 0.7053450633450494
x: 0.8619358182947915, y: 0.7183190187804186
x: 0.8683326681063603, y: 0.730626186819964
x: 0.8743684713689485, y: 0.7423139046603361
x: 0.8800782630969836, y: 0.7534170641922031
x: 0.8854747459210182, y: 0.7639774066840017
x: 0.8905922658323142, y: 0.7740214661739457
x: 0.8954339970381091, y: 0.7835880250671395
x: 0.9000377377501587, y: 0.7926950340593913
x: 0.9043939198022384, y: 0.8013814817169065
x: 0.9085502287196213, y: 0.8096549219460812
x: 0.9124772702329306, y: 0.8175592200262785
x: 0.9162439611134497, y: 0.8250869943590086
x: 0.9197865850276856, y: 0.8322949953179358
x: 0.9232168079039955, y: 0.8391511786574131
x: 0.9264071976085898, y: 0.8457402265269274
x: 0.9295548587671975, y: 0.8519852611539632
x: 0.9324083720263727, y: 0.8580287483058331
x: 0.9353376770769478, y: 0.8637070602653515
x: 0.9378415756230543, y: 0.8692818152125252
x: 0.9406463019493445, y: 0.8744143180898285
x: 0.9427332314269686, y: 0.8796148917304023
x: 0.9455784277587921, y: 0.8841804186835679
x: 0.9470654378332163, y: 0.8891494908631778
x: 0.9502809017803749, y: 0.8930412172006993
x: 0.950728958655926, y: 0.8980375047446104
x: 0.9550232487539284, y: 0.9009615287857957
x: 0.9534103087932653, y: 0.9065154672231512
x: 0.9603678322239585, y: 0.9077533420682103
x: 0.9543179932434541, y: 0.915029857619377
x: 0.9675646568797259, y: 0.9128763449237955
x: 0.9515026018396203, y: 0.9245288550832875
x: 0.9794439504058328, y: 0.9149430281954285
x: 0.9400997457028927, y: 0.9371267400910034
x: 1.0022239632452563, y: 0.9104571359808257
x: 0.907574380988539, y: 0.9574550042419224
x: 1.0474600457925904, y: 0.8905731306343356
x: 0.8215633914754035, y: 0.993872839083067
x: 1.119252555517118, y: 0.8344196226478046
x: 0.6272112345968013, y: 1.0435729528396958
x: 1.1095685672705675, y: 0.7184834428219449
x: 0.518824572031505, y: 0.9748129241483676
x: 0.9811599040668291, y: 0.6219959303460714
x: 0.6506675082226228, y: 0.7923353438472407
x: 0.9606089281034831, y: 0.6078517750519667
x: 0.6659743424238236, y: 0.7653106439020273
x: 0.9470825645021814, y: 0.6044162343344582
x: 0.6805978432379413, y: 0.7506908091592311
x: 0.9401347559535435, y: 0.6069521166896729
x: 0.6917833131681024, y: 0.7454027380207411
x: 0.9380211244737742, y: 0.6119834451993116
x: 0.6991208576437992, y: 0.7459335375791591
x: 0.9390850905327942, y: 0.6173517555858947
x: 0.7028527745945297, y: 0.749616281423428
x: 0.9419414035778935, y: 0.6218091520893214
x: 0.7035199902830759, y: 0.7545313799317764
x: 0.9454434452427897, y: 0.6247358783298617
x: 0.70190998227891, y: 0.7592995932411905
x: 0.9486726010547853, y: 0.6259886082319798
x: 0.6990102258765797, y: 0.7629841561119859
x: 0.9509948126753943, y: 0.6257997259960306
x: 0.6958568570142583, y: 0.7650954298657685
x: 0.9521368232729128, y: 0.6246560976597636
x: 0.6932940496536517, y: 0.7656103139459873
x: 0.9521919198592617, y: 0.6231334766155854
x: 0.6917728613815411, y: 0.7649014644304024
x: 0.9515086673404073, y: 0.6217255780872137
x: 0.6913179935365955, y: 0.7635471610555543
x: 0.9505131909983268, y: 0.6207338646215187
x: 0.6916610543623287, y: 0.762104595441661
x: 0.9495597047217403, y: 0.6202498047816545
x: 0.6924285228144518, y: 0.7609567188064313
x: 0.9488610663107284, y: 0.6202069890067429
x: 0.6932840759889937, y: 0.7602721560835206
x: 0.948489826663469, y: 0.6204574830517078
x: 0.6939967603735288, y: 0.760045217167875
x: 0.9484156167510872, y: 0.6208383602884436
x: 0.6944528476457835, y: 0.760165271192874
x: 0.948551074196542, y: 0.6212150143981509
x: 0.6946370054908264, y: 0.7604820773787562
x: 0.9487919469922652, y: 0.6215013233880144
x: 0.6946006447955662, y: 0.7608537410326925
x: 0.9490459961880289, y: 0.6216618983915583
x: 0.6944278954489748, y: 0.7611751006360095
x: 0.9492494977792044, y: 0.6217026013068743
x: 0.6942058507022604, y: 0.7613886051704781
x: 0.94937219042812, y: 0.6216551841598876
x: 0.694003558076124, y: 0.7614813700590821
x: 0.949413094631464, y: 0.6215611543407067
x: 0.6938618300388179, y: 0.7614731892991793
x: 0.9493908568826549, y: 0.6214587142419974
x: 0.6937930949521954, y: 0.7614008566871682
x: 0.9493326115219259, y: 0.6213748576452753
x: 0.6937881812573139, y: 0.7613036324721283
x: 0.9492645818172925, y: 0.6213228364622474
x: 0.6938260222228139, y: 0.7612130413774886
x: 0.9492061622718413, y: 0.6213037952454913
x: 0.6938828315563151, y: 0.7611480668701586
x: 0.9491677192202798, y: 0.6213107253993865
x: 0.6939386766564011, y: 0.7611150423045903
x: 0.9491513143863579, y: 0.6213329646321335
x: 0.6939808062182125, y: 0.7611105911167414
x: 0.9491531281610439, y: 0.6213599752580222
x: 0.6940041193819175, y: 0.7611258179779578
x: 0.9491664054468703, y: 0.6213837678485311
x: 0.694009689621909, y: 0.7611503165387211
x: 0.9491840548863635, y: 0.6213998829139243
x: 0.6940023694914628, y: 0.7611751264822235
x: 0.9492004223208823, y: 0.6214072076709891
x: 0.6939883473219539, y: 0.7611943247025564
x: 0.9492121150738704, y: 0.6214070754606215
x: 0.6939732367398905, y: 0.7612053574317866
x: 0.949218013130247, y: 0.6214021053715312
x: 0.6939609599709419, y: 0.7612084709112054
x: 0.9492187443258094, y: 0.621395142437524
x: 0.6939534134906679, y: 0.7612056835085078
x: 0.9492159309937421, y: 0.6213885118019279
x: 0.6939507252802775, y: 0.7611996977271234
x: 0.9492114639872968, y: 0.6213836534220767
x: 0.6939518387062261, y: 0.7611930283934686
x: 0.9492069654990066, y: 0.6213810914186201
x: 0.6939551721457089, y: 0.7611874773852044
x: 0.9492035016225016, y: 0.6213806291665224
x: 0.6939591726461259, y: 0.7611839583294493
x: 0.9492015254309717, y: 0.6213816458145798
x: 0.6939626702888431, y: 0.761182590847516
x: 0.9492009837103728, y: 0.6213833893009906
x: 0.6939650194593401, y: 0.7611829483888598
x: 0.9492015053340614, y: 0.6213851983110573
x: 0.6939660680794475, y: 0.7611843480197432
x: 0.9492025987090909, y: 0.6213866258327138
x: 0.6939660218517869, y: 0.7611860996143903
x: 0.9492038088745587, y: 0.6213874695495879
x: 0.6939652717949647, y: 0.7611876701657598
x: 0.9492048114602121, y: 0.6213877343116196
x: 0.6939642382156592, y: 0.7611887542053957
x: 0.9492054434090387, y: 0.6213875590638311
x: 0.6939632619744325, y: 0.7611892664305607
x: 0.9492056852090076, y: 0.6213871377004009
x: 0.6939625521263216, y: 0.7611892852667433
x: 0.9492056156289298, y: 0.6213866545102186
x: 0.6939621826524535, y: 0.7611889776258584
x: 0.9492053591170347, y: 0.6213862442888339
x: 0.6939621220102816, y: 0.7611885290326541
x: 0.949205040749272, y: 0.6213859779088464
x: 0.6939622771765087, y: 0.7611880936463299
x: 0.9492047566747998, y: 0.6213858678951955
x: 0.6939625368162767, y: 0.7611877689946216
x: 0.9492045616102935, y: 0.6213858857495662
x: 0.6939628037549979, y: 0.7611875927656735
x: 0.9492044703950082, y: 0.6213859828805917
x: 0.6939630128520847, y: 0.7611875547492224
x: 0.9492044683590118, y: 0.6213861089779742
x: 0.6939631351535454, y: 0.7611876158653346
x: 0.9492045250112642, y: 0.6213862244088058
x: 0.6939631721165613, y: 0.7611877273553046
x: 0.9492046066849043, y: 0.6213863058046819
x: 0.6939631447064871, y: 0.761187845578236
x: 0.94920468553583, y: 0.6213863458945855
x: 0.693963081706035, y: 0.7611879404688731
x: 0.9492047440510644, y: 0.621386349619925
x: 0.693963010250055, y: 0.7611879978744811
x: 0.9492047755685474, y: 0.6213863287349091
x: 0.6939629500336815, y: 0.7611880173485007
x: 0.9492047820715817, y: 0.6213862966840055
x: 0.6939629112766283, y: 0.7611880074957571
x: 0.9492047707214386, y: 0.6213862648616413
x: 0.6939628956168077, y: 0.7611879808109916
x: 0.9492047503799185, y: 0.6213862406519515
x: 0.6939628987061837, y: 0.7611879493978556
x: 0.9492047289400547, y: 0.6213862270892588
x: 0.6939629133093496, y: 0.7611879222657119
x: 0.9492047118116588, y: 0.621386223657268
