--- Epsilon = 10^-3 ---
x: 0.0, y: 0.0
x: 0.17999999999993022, y: 0.0
x: 0.32235119837993875, y: 0.014580000000019577
x: 0.41841182486182793, y: 0.05477863279367001
x: 0.47780007693213333, y: 0.1089090528694131
x: 0.5204586027627245, y: 0.1626317901605251
x: 0.5560725403496974, y: 0.21134220532366133
x: 0.5869967060294148, y: 0.255385714486947
x: 0.6142240712980918, y: 0.2955164527680354
x: 0.6384695672164931, y: 0.33230609341531603
x: 0.6602545263390949, y: 0.36620787609614874
x: 0.6799742036746574, y: 0.3975855496509445
x: 0.6979353716327622, y: 0.42673626525636177
x: 0.714381353716218, y: 0.4539061482302646
x: 0.729508479358698, y: 0.4793017048684789
x: 0.7434775771662286, y: 0.5030981173329687
x: 0.7564220908602266, y: 0.5254454730201641
x: 0.7684540082406439, y: 0.5464734809546984
x: 0.7796682473099041, y: 0.5662951177765836
x: 0.7901459772762246, y: 0.5850094739156031
x: 0.7999571611052729, y: 0.6027040100861871
x: 0.8091625365586819, y: 0.6194563623690248
x: 0.8178151740608565, y: 0.6353358040595005
x: 0.8259617191673024, y: 0.6504044387486091
x: 0.8336433910121662, y: 0.6647181840001486
x: 0.8408967941933491, y: 0.6783275877202984
x: 0.8477545829860176, y: 0.6912785115642556
x: 0.8542460103614188, y: 0.7036127061985488
x: 0.8603973839535254, y: 0.7153682992074818
x: 0.8662324482822986, y: 0.7265802108054451
x: 0.8717727062807133, y: 0.7372805104487089
x: 0.8770376921445726, y: 0.747498723883988
x: 0.8820452033817423, y: 0.7572620991852169
x: 0.886811499880758, y: 0.7665958379158014
x: 0.8913514748085196, y: 0.7755232971980317
x: 0.8956788026643028, y: 0.784066166698412
x: 0.8998060674009827, y: 0.7922446245780967
x: 0.9037448744342893, y: 0.8000774750371815
x: 0.907505948216288, y: 0.8075822704002615
x: 0.9110992182867468, y: 0.8147754194417175
x: 0.914533894622417, y: 0.821672284196168
x: 0.917818534678269, y: 0.8282872662938522
x: 0.9209611022908037, y: 0.8346338846311525
x: 0.9239690205923672, y: 0.8407248449168446
x: 0.9268492185484395, y: 0.8465721026607521
x: 0.9296081732438087, y: 0.8521869197291465
x: 0.932251946974635, y: 0.8575799159437909
x: 0.9347862214627478, y: 0.8627611154561835
x: 0.9372163276130422, y: 0.8677399894273712
x: 0.939547273565129, y: 0.8725254943200684
x: 0.9417837686436412, y: 0.8771261075446876
x: 0.9439302467143879, y: 0.8815498592458564
x: 0.9459908854181727, y: 0.885804362383249
x: 0.9479696260069789, y: 0.8898968391932027
x: 0.9498701886022461, y: 0.8938341468805762
x: 0.9516960895165659, y: 0.8976227996221865
x: 0.953450652966885, y: 0.9012689908527077
x: 0.9551370268309413, y: 0.9047786114083295
x: 0.9567581909268779, y: 0.9081572692851333
x: 0.9583169722256927, y: 0.9114103042643754
x: 0.9598160494224921, y: 0.9145428060105246
x: 0.9612579688706135, y: 0.917559625233838
x: 0.9626451446308932, y: 0.9204653911013765
x: 0.9639798768988906, y: 0.9232645186224018
x: 0.9652643458902611, y: 0.9259612266220208
x: 0.9665006354639938, y: 0.9285595404932404
x: 0.9676907178531485, y: 0.9310633125298187
x: 0.9688364868385578, y: 0.9334762183300138
x: 0.9699397280642196, y: 0.9358017822848629
x: 0.971002169011408, y: 0.9380433644914559
x: 0.9720254257423778, y: 0.940204195971487
x: 0.9730110819970897, y: 0.9422873505146605
x: 0.973960596437012, y: 0.9442957973431794
x: 0.9748754321028265, y: 0.9462323480741216
x: 0.9757568963464173, y: 0.9480997400937193
x: 0.9766063576410724, y: 0.9499005413969622
x: 0.9774249693741328, y: 0.951637287771562
x: 0.9782140389910834, y: 0.9533123151145699
x: 0.9789745494063585, y: 0.9549279910486752
x: 0.9797077954769972, y: 0.9564864208501934
x: 0.9804145497733774, y: 0.9579898455008852
x: 0.9810961712386603, y: 0.9594401252587871
x: 0.9817531413557758, y: 0.9608394326409542
x: 0.9823870121468391, y: 0.9621893417053949
x: 0.9829978202360293, y: 0.9634920466736243
x: 0.9835875359206424, y: 0.9647487472354466
x: 0.984155465054634, y: 0.965961809347794
x: 0.9847043980798884, y: 0.967131885869893
x: 0.9852323830903696, y: 0.9682617754474849
x: 0.9857437574827511, y: 0.9693512584065846
x: 0.9862343421485608, y: 0.9704040320609172
x: 0.986711347487678, y: 0.9714183975684463
x: 0.9871665818651641, y: 0.9723997961300724
x: 0.9876125632476668, y: 0.9733439250296481
x: 0.9880337916140755, y: 0.9742595175543883
x: 0.9884525842163767, y: 0.9751375826719924
x: 0.9888400301778554, y: 0.9759930005294107
x: 0.9892365672777562, y: 0.9768082226681397
x: 0.9895885396444934, y: 0.9776095661852422
x: 0.9899699769713193, y: 0.9783637264099576
x: 0.9902813629707641, y: 0.9791182994125441
x: 0.9906591783531183, y: 0.9798107947081546
x: 0.990918592858185, y: 0.9805284605343589
x: 0.9913125304263862, y: 0.9811544992463178
x: 0.9914969236761035, y: 0.981850214426639
x: 0.9919424320527268, y: 0.9823973852812811
x: 0.9920068801879196, y: 0.9830959667327098
x: 0.992569179622541, y: 0.9835377243560666
x: 0.9924275254796879, y: 0.9842828577472903
x: 0.9932282703652364, y: 0.9845661487593912
x: 0.9927163498713978, y: 0.9854374604913887
x: 0.9939842527905883, y: 0.9854591913561599
x: 0.9927899070415622, y: 0.9866046679039367
x: 0.9949569833569675, y: 0.9861668771327825
x: 0.9924865703601718, y: 0.9878645118518887
x: 0.9963712363474719, y: 0.9865887980739223
x: 0.9914943867582604, y: 0.9893638772199224
x: 0.9986496226988252, y: 0.9865276360088701
x: 0.9892096853876469, y: 0.9913756808173056
x: 1.0025831326502253, y: 0.985597735198646
x: 0.984454968530808, y: 0.994406576402887
x: 1.0096292268676752, y: 0.9830418303008366
x: 0.9749028782124818, y: 0.999381035750897
x: 1.022365673673572, y: 0.977355599539137
x: 0.9558851865215922, y: 1.0078997865642298
x: 1.0448514207101367, y: 0.9655173030254711
x: 0.9181065752098015, y: 1.0223060377760065
x: 1.0810735956831294, y: 0.9415821783263764
x: 0.8454827912388841, y: 1.0437942517569492
x: 1.1236076489867726, y: 0.8957653560928424
x: 0.730504913063927, y: 1.0607933128387674
x: 1.125594989573618, y: 0.823573164666122
x: 0.6538171473096306, y: 1.0230990768152564
x: 1.0666152704694938, y: 0.755069080200607
x: 0.6873471171100167, y: 0.9272386549497523
x: 1.0249649713350086, y: 0.7225819869521365
x: 0.7179281697396497, y: 0.8701690294323521
x: 0.997916428323646, y: 0.7105323517953981
x: 0.7420521085205453, y: 0.8389195325506567
